编码1,编码2,相似度
休息技能缺失,努力回报信念,0.6026
休息技能缺失,好孩子规训内化,0.4873
休息技能缺失,外部认同依赖,0.6742
休息技能缺失,决策冲突倾向,0.6953
休息技能缺失,反刍性自我审视,0.6358
休息技能缺失,同伴比较压力,0.6233
休息技能缺失,早期教育塑造的休息观念,0.7723
休息技能缺失,高强度学业压力下的自我要求,0.6802
休息技能缺失,家庭环境对休息态度的塑造,0.7501
休息技能缺失,碎片化工作模式内化,0.6560
休息技能缺失,同辈产出压力,0.5864
休息技能缺失,竞争性成长环境,0.7140
休息技能缺失,未来成就压力,0.6064
休息技能缺失,家庭经济压力引发的成就焦虑,0.5724
休息技能缺失,社会对持续产出的推崇,0.6198
休息技能缺失,休息被等同于浪费,0.7472
休息技能缺失,能动力不足,0.8754
休息技能缺失,休息价值被否定,0.7247
休息技能缺失,时间管理失衡感,0.7328
休息技能缺失,对成果质量的高要求与休闲时间的冲突,0.6756
休息技能缺失,能力自我怀疑,0.6794
休息技能缺失,被超越的恐惧,0.5806
休息技能缺失,休息引发的焦虑与恐惧,0.7308
休息技能缺失,早期努力至上教育灌输,0.5860
休息技能缺失,努力不足归因倾向,0.7446
休息技能缺失,他人持续努力的想象性比较,0.6787
休息技能缺失,任务未完成时的休息负罪感,0.7108
休息技能缺失,集体专注氛围下的休息不适,0.7315
休息技能缺失,自控力与行动力的冲突,0.6706
休息技能缺失,与同辈自发比较产生的压力,0.6233
休息技能缺失,自我期望与能力落差,0.8000
休息技能缺失,升学与就业竞争压力,0.6252
休息技能缺失,理想自我与现实自我的冲突,0.6730
休息技能缺失,竞争性学习内化,0.6226
休息技能缺失,目标缺失下的时间空洞感,0.6774
休息技能缺失,同辈卷度焦虑,0.5837
休息技能缺失,教育灌输的时间观,0.5694
休息技能缺失,非自愿的社会比较倾向,0.5514
休息技能缺失,制度化时间管理剥夺自主节奏体验,0.5956
休息技能缺失,同辈竞争压力下的行为参照,0.6283
休息技能缺失,心理困扰驱动的回避性忙碌,0.7600
休息技能缺失,竞争导向的评价体系,0.4896
休息技能缺失,自我规训的思维模式,0.7077
休息技能缺失,学业负担过重,0.8014
休息技能缺失,家长期望压力,0.5621
休息技能缺失,教师权威驱动,0.4925
休息技能缺失,自我意志薄弱,0.8230
休息技能缺失,自我期望过高,0.6525
休息技能缺失,学业任务压力,0.6874
休息技能缺失,休息伴随负面情绪体验,0.8373
休息技能缺失,担忧学业落后,0.6342
休息技能缺失,恐惧休息行为本身,0.6975
休息技能缺失,感知他人隐性竞争,0.5720
休息技能缺失,担忧被群体远远抛下,0.5511
休息技能缺失,生产力至上价值观,0.5255
休息技能缺失,自我提升义务感,0.6043
休息技能缺失,时间利用焦虑,0.6945
休息技能缺失,就业市场竞争激烈,0.6423
休息技能缺失,学历价值下降,0.5880
休息技能缺失,社会整体压力氛围,0.7903
休息技能缺失,同辈竞争性行为普遍,0.5845
休息技能缺失,生活节奏过快,0.8037
休息技能缺失,长期高压习惯化,0.7174
休息技能缺失,自我成就压力,0.5518
休息技能缺失,对落后于他人的恐惧,0.5784
休息技能缺失,完美主义驱动的自我要求,0.6103
休息技能缺失,竞争意识引发的休息压力,0.7067
休息技能缺失,对未完成事务的持续担忧,0.6116
休息技能缺失,努力至上文化规范,0.6006
休息技能缺失,心理健康价值被忽视,0.7089
休息技能缺失,家庭期望压力,0.7492
休息技能缺失,目标与能力失衡引发的时间侵占,0.6922
休息技能缺失,同侪努力引发的休息不适,0.7558
休息技能缺失,自我高期望引发的休息冲突,0.7850
休息技能缺失,同侪水平相近时的攀比压力,0.5673
休息技能缺失,成就动机驱动,0.6798
休息技能缺失,重要他人期望压力,0.5600
休息技能缺失,同辈努力参照,0.6098
休息技能缺失,社会焦虑氛围渗透,0.7062
休息技能缺失,机构文化强调自律与进取,0.4512
休息技能缺失,就业前景不确定性带来的压力,0.7003
休息技能缺失,教育中缺乏对休闲正当性的认可,0.6821
休息技能缺失,未完成任务压力,0.6967
休息技能缺失,早期愧疚导向的教养方式,0.5923
休息技能缺失,外部高期待压力,0.6712
休息技能缺失,自我成就标准过高,0.7249
休息技能缺失,对他人负面评价的恐惧,0.6543
休息技能缺失,无意识的社会比较倾向,0.6585
休息技能缺失,同辈群体的竞争氛围,0.7935
休息技能缺失,社会竞争压力,0.7751
休息技能缺失,自我要求严苛,0.5873
休息技能缺失,内耗型思维模式,0.6554
休息技能缺失,过度关注他人表现,0.7473
休息技能缺失,资本主义社会对人的异化,0.4319
休息技能缺失,价值条件化的教育影响,0.6015
休息技能缺失,社会内卷与经济不安全感,0.5489
休息技能缺失,同辈学业努力对比,0.5916
休息技能缺失,自我成长期待冲突,0.6120
休息技能缺失,家庭优先学习理念灌输,0.5796
休息技能缺失,学校内卷化学习氛围,0.6339
休息技能缺失,社会整体内卷风气,0.6003
休息技能缺失,早期习惯内化,0.7525
休息技能缺失,高压环境下的自动化思维,0.5693
休息技能缺失,社会结构驱动的内卷压力,0.5243
休息技能缺失,过高的自我要求,0.6433
休息技能缺失,环境压力过大,0.6679
休息技能缺失,成就导向的自我价值绑定,0.6214
休息技能缺失,外部认可依赖,0.7818
休息技能缺失,未达自我努力标准,0.7999
休息技能缺失,焦虑敏感的个体特质,0.6676
休息技能缺失,高压竞争的社会环境,0.7529
休息技能缺失,应试教育塑造的行为惯性,0.6094
休息技能缺失,过高自我目标设定,0.6331
休息技能缺失,自我效能感不足,0.8014
休息技能缺失,过度关注他人状态,0.6915
休息技能缺失,自我敏感性过高,0.6046
休息技能缺失,未来目标模糊,0.6661
休息技能缺失,奋斗文化内化,0.6829
休息技能缺失,奋斗价值观的文化传承,0.6003
休息技能缺失,群体压力氛围,0.5880
休息技能缺失,自我效能怀疑,0.6198
休息技能缺失,社会生活节奏压迫感,0.6529
休息技能缺失,高自我学业标准,0.6712
休息技能缺失,升学目标驱动压力,0.5774
休息技能缺失,学业压力内化,0.5933
休息技能缺失,休息引发焦虑反应,0.7236
休息技能缺失,早期价值观内化,0.7224
休息技能缺失,同辈压力驱动的自我监控,0.6147
休息技能缺失,理想自我与现实行为的落差,0.5742
休息技能缺失,自动化负面思维模式,0.6750
休息技能缺失,社会攀比压力,0.7142
休息技能缺失,弥漫性焦虑氛围,0.5799
休息技能缺失,亲密关系中的价值评判,0.5925
休息技能缺失,家庭权威的期望压力,0.4963
休息技能缺失,教育者传递的绩效焦虑,0.5203
休息技能缺失,高压教养模式,0.4979
休息技能缺失,成就导向型人格特质,0.6088
休息技能缺失,目标紧迫性感知,0.6134
休息技能缺失,计划秩序破坏敏感,0.5969
休息技能缺失,效率至上信念,0.5993
休息技能缺失,竞争压力下的自我不足感,0.6362
休息技能缺失,外部比较压力,0.5693
休息技能缺失,内在认知偏差,0.8165
休息技能缺失,职场与校园文化规训,0.6095
休息技能缺失,同辈压力驱动的休息不适,0.7748
休息技能缺失,好胜性格引发的自我苛责,0.5929
休息技能缺失,技术加速带来的紧迫感,0.6243
休息技能缺失,对未来不确定性的焦虑,0.6159
休息技能缺失,生存与生活压力的内化,0.5716
休息技能缺失,他人评价的过度关注,0.6163
休息技能缺失,幸福观的绩效化倾向,0.6004
休息技能缺失,多源压力驱动的应然自我期待,0.5908
休息技能缺失,自我设定目标未达成引发的内疚,0.5688
休息技能缺失,代际劳动榜样内化,0.5615
休息技能缺失,社会推崇进取文化,0.7373
休息技能缺失,个人要强性格,0.6674
休息技能缺失,高自我要求与完美主义倾向,0.7121
休息技能缺失,时间经济化观念,0.6107
休息技能缺失,勤劳美德内化,0.6467
休息技能缺失,制度性过劳常态化,0.6386
休息技能缺失,社会成功话语对休息的污名化,0.6596
休息技能缺失,教育环境强调持续学习,0.5325
休息技能缺失,社会内卷氛围压力,0.7643
休息技能缺失,高压环境下的休息无效感,0.7437
休息技能缺失,同辈竞争引发的休息愧疚,0.6473
休息技能缺失,就业压力,0.6624
休息技能缺失,时间管理失当,0.7887
休息技能缺失,广泛性焦虑倾向,0.5832
休息技能缺失,内卷环境引发的竞争压力,0.5319
休息技能缺失,就业市场焦虑,0.6631
休息技能缺失,休息等同于生命浪费,0.7409
休息技能缺失,对未完成任务的恐惧,0.6554
休息技能缺失,对目标的矛盾心理,0.7950
休息技能缺失,未完成任务的压力,0.6666
休息技能缺失,群体学习氛围的压迫感,0.5712
休息技能缺失,就业前景焦虑,0.7506
休息技能缺失,前途不确定性忧虑,0.6683
休息技能缺失,家长期望负担,0.5839
休息技能缺失,他人审视恐惧,0.6230
休息技能缺失,内在成就驱力,0.7326
休息技能缺失,未遵循个人休息计划,0.8420
休息技能缺失,资源稀缺引发的生存焦虑,0.7341
休息技能缺失,感知他人努力压力,0.6645
休息技能缺失,自我高标准要求,0.6129
休息技能缺失,不切实际的任务目标,0.6782
休息技能缺失,高强度学业竞争感知,0.6109
休息技能缺失,自我设定的高成就标准,0.7552
休息技能缺失,对未来后果的灾难化预期,0.5404
休息技能缺失,时间紧迫感,0.5714
休息技能缺失,内在自我驱策,0.7422
休息技能缺失,任务完成不确定性,0.7817
休息技能缺失,竞争性社会环境压力,0.6675
休息技能缺失,权威人物的价值观内化,0.6348
休息技能缺失,努力与疲惫的内在冲突,0.7275
休息技能缺失,社会整体奋进氛围的压力,0.7453
休息技能缺失,外部高期望的内化,0.6961
休息技能缺失,未来不确定性驱动的过度准备,0.6037
休息技能缺失,多重压力叠加,0.7641
休息技能缺失,竞争压力感知,0.6658
休息技能缺失,应试教育内化的竞争焦虑,0.5692
休息技能缺失,就业压力驱动的群体比较,0.6122
休息技能缺失,经济独立紧迫感,0.6775
休息技能缺失,同辈学业成就压力,0.5755
休息技能缺失,教育灌输的效率至上观念,0.5880
休息技能缺失,现实压力驱动的自我规训,0.6017
休息技能缺失,自我定位模糊,0.7431
休息技能缺失,就业导向的教育压力,0.5888
休息技能缺失,被动卷入竞争环境,0.5915
休息技能缺失,同伴成就引发的自我贬抑,0.6587
休息技能缺失,高学业成就期待,0.7476
休息技能缺失,未完成重要事务的自我责备,0.6768
休息技能缺失,观察他人努力引发的相对懈怠感,0.6902
休息技能缺失,竞争性评价体系压力,0.5114
休息技能缺失,争强好胜的个性倾向,0.7633
休息技能缺失,竞争劣势引发的焦虑投射,0.6295
休息技能缺失,过度关注外部评价,0.7173
休息技能缺失,学业进度压力,0.7334
休息技能缺失,同伴内卷氛围引发的归因偏差,0.5960
休息技能缺失,他人成就压力,0.5867
休息技能缺失,思维反刍倾向,0.7469
休息技能缺失,社会竞争环境强化,0.6844
休息技能缺失,内在价值冲突,0.6946
休息技能缺失,同辈竞争压力加剧,0.6166
休息技能缺失,同伴学习行为引发的焦虑,0.5557
休息技能缺失,成功焦虑驱动的自我监控,0.6782
休息技能缺失,生存压力加剧,0.6267
休息技能缺失,休闲活动的时间消耗感,0.7298
休息技能缺失,社会竞争氛围内化,0.5641
休息技能缺失,填鸭式教育经历,0.6022
休息技能缺失,社会比较压力,0.6520
休息技能缺失,效率至上价值观,0.5846
休息技能缺失,对落后于他人的担忧,0.6145
休息技能缺失,自我价值绑定于持续产出,0.5341
休息技能缺失,自我施加的完美主义倾向,0.6998
休息技能缺失,同辈竞争性参照,0.5540
休息技能缺失,自我提升的迫切需求,0.6659
休息技能缺失,同伴行为带来的隐性压力,0.6361
休息技能缺失,家庭成就期待压力,0.5424
休息技能缺失,成就导向驱动的自我要求,0.6347
休息技能缺失,内卷环境下的行为惯性,0.6321
休息技能缺失,工作压力引发的休息冲突,0.7355
休息技能缺失,学业成绩导向的教育氛围,0.7282
休息技能缺失,内卷环境与休息渴望的冲突,0.6711
休息技能缺失,群体性内卷压力,0.6040
休息技能缺失,担忧被他人超越,0.7246
休息技能缺失,卷躺两难困境,0.5768
休息技能缺失,能力与期望不匹配,0.7506
休息技能缺失,自我行为不一致引发的内疚,0.6574
休息技能缺失,未完成应尽责任引发的自我谴责,0.6763
休息技能缺失,他人成就引发的不利自我对照,0.6229
休息技能缺失,学业压力驱动的休息否定,0.7737
休息技能缺失,竞争环境下的休息污名化,0.6626
休息技能缺失,功利主义价值观对休息的贬低,0.6325
休息技能缺失,同辈行为参照引发的自我审视,0.5966
休息技能缺失,休息价值感缺失,0.8606
休息技能缺失,成绩导向的社会评价,0.6706
休息技能缺失,内外压力叠加,0.7456
休息技能缺失,早期高压教育灌输,0.6766
休息技能缺失,同辈竞争驱动的自我压榨,0.5168
休息技能缺失,对成绩与生活的焦虑,0.6604
休息技能缺失,社会竞争压力内化,0.6268
休息技能缺失,应试教育惯性,0.5847
休息技能缺失,恐惧被他人超越,0.5670
休息技能缺失,遵从努力型社会规范的压力,0.6257
休息技能缺失,目标模糊引发的自我苛责,0.6705
休息技能缺失,优绩主义文化压力,0.6583
休息技能缺失,传统家庭教育规训,0.7653
休息技能缺失,社会大众心理氛围,0.7189
休息技能缺失,同辈竞争焦虑,0.6127
休息技能缺失,社会功利文化压力,0.6624
休息技能缺失,自我价值绑定于生产力,0.5956
休息技能缺失,错失恐惧驱动,0.7249
休息技能缺失,学习效率低下引发的自我责备,0.6805
休息技能缺失,重要他人高期待压力,0.6407
休息技能缺失,亲密关系中的能力落差感,0.6198
休息技能缺失,教育环境内卷氛围,0.6425
休息技能缺失,未来方向不确定性,0.7833
休息技能缺失,环境竞争压力,0.6618
休息技能缺失,情绪调节困难,0.7109
休息技能缺失,社会对高效产出的推崇,0.5822
休息技能缺失,忙碌脱离不适感,0.7534
休息技能缺失,未来方向不明引发的休息焦虑,0.7654
休息技能缺失,自我努力不足感,0.7906
休息技能缺失,过度焦虑倾向,0.7444
休息技能缺失,他人比较引发的心理失衡,0.6931
休息技能缺失,忙碌即价值的社会观念,0.6096
休息技能缺失,害怕落后的焦虑,0.6076
休息技能缺失,对休息即浪费时间的自我苛责,0.7324
休息技能缺失,教育环境传递的功利价值观,0.4817
休息技能缺失,勤奋崇拜文化,0.5876
休息技能缺失,同辈努力感知压力,0.6352
休息技能缺失,竞争性社会氛围感知,0.6276
休息技能缺失,多重结构性压力叠加,0.7064
休息技能缺失,就业竞争压力,0.7319
休息技能缺失,应试教育导向下的时间紧迫感,0.5175
休息技能缺失,高竞争环境下的不敢松懈心理,0.6786
休息技能缺失,表面努力的压力,0.5970
心理健康困扰,就业压力驱动的自我要求,0.6158
心理健康困扰,同辈努力氛围引发的自我对照,0.6349
心理健康困扰,工作积压压力,0.6987
心理健康困扰,社会竞争加剧,0.7901
心理健康困扰,努力回报信念,0.5539
心理健康困扰,好孩子规训内化,0.4503
心理健康困扰,外部认同依赖,0.7449
心理健康困扰,决策冲突倾向,0.7169
心理健康困扰,反刍性自我审视,0.6637
心理健康困扰,同伴比较压力,0.6582
心理健康困扰,早期教育塑造的休息观念,0.6851
心理健康困扰,高强度学业压力下的自我要求,0.6884
心理健康困扰,家庭环境对休息态度的塑造,0.7323
心理健康困扰,碎片化工作模式内化,0.6332
心理健康困扰,同辈产出压力,0.6049
心理健康困扰,竞争性成长环境,0.7076
心理健康困扰,未来成就压力,0.6137
心理健康困扰,家庭经济压力引发的成就焦虑,0.6111
心理健康困扰,社会对持续产出的推崇,0.5998
心理健康困扰,休息被等同于浪费,0.6531
心理健康困扰,能动力不足,0.8540
心理健康困扰,休息价值被否定,0.6564
心理健康困扰,时间管理失衡感,0.7634
心理健康困扰,对成果质量的高要求与休闲时间的冲突,0.6447
心理健康困扰,能力自我怀疑,0.7067
心理健康困扰,被超越的恐惧,0.6271
心理健康困扰,休息引发的焦虑与恐惧,0.7568
心理健康困扰,早期努力至上教育灌输,0.5082
心理健康困扰,努力不足归因倾向,0.7044
心理健康困扰,他人持续努力的想象性比较,0.6364
心理健康困扰,任务未完成时的休息负罪感,0.6336
心理健康困扰,集体专注氛围下的休息不适,0.7240
心理健康困扰,自控力与行动力的冲突,0.6442
心理健康困扰,与同辈自发比较产生的压力,0.6428
心理健康困扰,自我期望与能力落差,0.7924
心理健康困扰,升学与就业竞争压力,0.6578
心理健康困扰,理想自我与现实自我的冲突,0.7187
心理健康困扰,竞争性学习内化,0.5756
心理健康困扰,目标缺失下的时间空洞感,0.5726
心理健康困扰,同辈卷度焦虑,0.6005
心理健康困扰,教育灌输的时间观,0.4759
心理健康困扰,非自愿的社会比较倾向,0.5352
心理健康困扰,制度化时间管理剥夺自主节奏体验,0.5161
心理健康困扰,同辈竞争压力下的行为参照,0.6224
心理健康困扰,心理困扰驱动的回避性忙碌,0.8092
心理健康困扰,竞争导向的评价体系,0.5154
心理健康困扰,自我规训的思维模式,0.6663
心理健康困扰,学业负担过重,0.8535
心理健康困扰,家长期望压力,0.6200
心理健康困扰,教师权威驱动,0.4746
心理健康困扰,自我意志薄弱,0.8112
心理健康困扰,自我期望过高,0.7197
心理健康困扰,学业任务压力,0.7128
心理健康困扰,休息伴随负面情绪体验,0.8482
心理健康困扰,担忧学业落后,0.6755
心理健康困扰,恐惧休息行为本身,0.6928
心理健康困扰,感知他人隐性竞争,0.5590
心理健康困扰,担忧被群体远远抛下,0.6070
心理健康困扰,生产力至上价值观,0.5225
心理健康困扰,自我提升义务感,0.6009
心理健康困扰,时间利用焦虑,0.6885
心理健康困扰,就业市场竞争激烈,0.6689
心理健康困扰,学历价值下降,0.5606
心理健康困扰,社会整体压力氛围,0.8135
心理健康困扰,同辈竞争性行为普遍,0.5784
心理健康困扰,生活节奏过快,0.7611
心理健康困扰,长期高压习惯化,0.7175
心理健康困扰,自我成就压力,0.5932
心理健康困扰,对落后于他人的恐惧,0.6028
心理健康困扰,完美主义驱动的自我要求,0.6428
心理健康困扰,竞争意识引发的休息压力,0.6755
心理健康困扰,对未完成事务的持续担忧,0.6380
心理健康困扰,努力至上文化规范,0.5520
心理健康困扰,心理健康价值被忽视,0.7908
心理健康困扰,家庭期望压力,0.7877
心理健康困扰,目标与能力失衡引发的时间侵占,0.6309
心理健康困扰,同侪努力引发的休息不适,0.7273
心理健康困扰,自我高期望引发的休息冲突,0.7833
心理健康困扰,同侪水平相近时的攀比压力,0.6108
心理健康困扰,成就动机驱动,0.6261
心理健康困扰,重要他人期望压力,0.6060
心理健康困扰,同辈努力参照,0.5424
心理健康困扰,社会焦虑氛围渗透,0.7555
心理健康困扰,机构文化强调自律与进取,0.4750
心理健康困扰,就业前景不确定性带来的压力,0.7232
心理健康困扰,教育中缺乏对休闲正当性的认可,0.5925
心理健康困扰,未完成任务压力,0.7017
心理健康困扰,早期愧疚导向的教养方式,0.5557
心理健康困扰,外部高期待压力,0.7108
心理健康困扰,自我成就标准过高,0.7661
心理健康困扰,对他人负面评价的恐惧,0.7196
心理健康困扰,无意识的社会比较倾向,0.6499
心理健康困扰,同辈群体的竞争氛围,0.7798
心理健康困扰,社会竞争压力,0.7366
心理健康困扰,自我要求严苛,0.6478
心理健康困扰,内耗型思维模式,0.6985
心理健康困扰,过度关注他人表现,0.7752
心理健康困扰,资本主义社会对人的异化,0.4608
心理健康困扰,价值条件化的教育影响,0.5831
心理健康困扰,社会内卷与经济不安全感,0.5662
心理健康困扰,同辈学业努力对比,0.5583
心理健康困扰,自我成长期待冲突,0.6488
心理健康困扰,家庭优先学习理念灌输,0.5266
心理健康困扰,学校内卷化学习氛围,0.6790
心理健康困扰,社会整体内卷风气,0.6052
心理健康困扰,早期习惯内化,0.7113
心理健康困扰,高压环境下的自动化思维,0.5810
心理健康困扰,社会结构驱动的内卷压力,0.5683
心理健康困扰,过高的自我要求,0.7198
心理健康困扰,环境压力过大,0.7397
心理健康困扰,成就导向的自我价值绑定,0.5923
心理健康困扰,外部认可依赖,0.7792
心理健康困扰,未达自我努力标准,0.7470
心理健康困扰,焦虑敏感的个体特质,0.7268
心理健康困扰,高压竞争的社会环境,0.7828
心理健康困扰,应试教育塑造的行为惯性,0.5354
心理健康困扰,过高自我目标设定,0.6435
心理健康困扰,自我效能感不足,0.8330
心理健康困扰,过度关注他人状态,0.7536
心理健康困扰,自我敏感性过高,0.6879
心理健康困扰,未来目标模糊,0.6833
心理健康困扰,奋斗文化内化,0.6471
心理健康困扰,奋斗价值观的文化传承,0.5744
心理健康困扰,群体压力氛围,0.6502
心理健康困扰,自我效能怀疑,0.6021
心理健康困扰,社会生活节奏压迫感,0.6703
心理健康困扰,高自我学业标准,0.6809
心理健康困扰,升学目标驱动压力,0.5854
心理健康困扰,学业压力内化,0.5998
心理健康困扰,休息引发焦虑反应,0.7212
心理健康困扰,早期价值观内化,0.6865
心理健康困扰,同辈压力驱动的自我监控,0.6095
心理健康困扰,理想自我与现实行为的落差,0.5656
心理健康困扰,自动化负面思维模式,0.6935
心理健康困扰,社会攀比压力,0.7655
心理健康困扰,弥漫性焦虑氛围,0.6804
心理健康困扰,亲密关系中的价值评判,0.6299
心理健康困扰,家庭权威的期望压力,0.5083
心理健康困扰,教育者传递的绩效焦虑,0.4925
心理健康困扰,高压教养模式,0.5155
心理健康困扰,成就导向型人格特质,0.6011
心理健康困扰,目标紧迫性感知,0.5973
心理健康困扰,计划秩序破坏敏感,0.5861
心理健康困扰,效率至上信念,0.5356
心理健康困扰,竞争压力下的自我不足感,0.6256
心理健康困扰,外部比较压力,0.6230
心理健康困扰,内在认知偏差,0.8061
心理健康困扰,职场与校园文化规训,0.5900
心理健康困扰,同辈压力驱动的休息不适,0.8000
心理健康困扰,好胜性格引发的自我苛责,0.6100
心理健康困扰,技术加速带来的紧迫感,0.6091
心理健康困扰,对未来不确定性的焦虑,0.6618
心理健康困扰,生存与生活压力的内化,0.6116
心理健康困扰,他人评价的过度关注,0.6498
心理健康困扰,幸福观的绩效化倾向,0.5806
心理健康困扰,多源压力驱动的应然自我期待,0.6231
心理健康困扰,自我设定目标未达成引发的内疚,0.5849
心理健康困扰,代际劳动榜样内化,0.5200
心理健康困扰,社会推崇进取文化,0.7317
心理健康困扰,个人要强性格,0.6954
心理健康困扰,高自我要求与完美主义倾向,0.7663
心理健康困扰,时间经济化观念,0.5708
心理健康困扰,勤劳美德内化,0.6097
心理健康困扰,制度性过劳常态化,0.6252
心理健康困扰,社会成功话语对休息的污名化,0.6231
心理健康困扰,教育环境强调持续学习,0.4726
心理健康困扰,社会内卷氛围压力,0.8000
心理健康困扰,高压环境下的休息无效感,0.7687
心理健康困扰,同辈竞争引发的休息愧疚,0.6188
心理健康困扰,就业压力,0.6806
心理健康困扰,时间管理失当,0.7979
心理健康困扰,广泛性焦虑倾向,0.6853
心理健康困扰,内卷环境引发的竞争压力,0.5913
心理健康困扰,就业市场焦虑,0.7007
心理健康困扰,休息等同于生命浪费,0.6580
心理健康困扰,对未完成任务的恐惧,0.6546
心理健康困扰,对目标的矛盾心理,0.8559
心理健康困扰,未完成任务的压力,0.6511
心理健康困扰,群体学习氛围的压迫感,0.5748
心理健康困扰,就业前景焦虑,0.7741
心理健康困扰,前途不确定性忧虑,0.6783
心理健康困扰,家长期望负担,0.6040
心理健康困扰,他人审视恐惧,0.6644
心理健康困扰,内在成就驱力,0.6791
心理健康困扰,未遵循个人休息计划,0.8082
心理健康困扰,资源稀缺引发的生存焦虑,0.7291
心理健康困扰,感知他人努力压力,0.6697
心理健康困扰,自我高标准要求,0.6469
心理健康困扰,不切实际的任务目标,0.6374
心理健康困扰,高强度学业竞争感知,0.5951
心理健康困扰,自我设定的高成就标准,0.7425
心理健康困扰,对未来后果的灾难化预期,0.6059
心理健康困扰,时间紧迫感,0.5803
心理健康困扰,内在自我驱策,0.7298
心理健康困扰,任务完成不确定性,0.7683
心理健康困扰,竞争性社会环境压力,0.6988
心理健康困扰,权威人物的价值观内化,0.6024
心理健康困扰,努力与疲惫的内在冲突,0.7201
心理健康困扰,社会整体奋进氛围的压力,0.7548
心理健康困扰,外部高期望的内化,0.7185
心理健康困扰,未来不确定性驱动的过度准备,0.5948
心理健康困扰,多重压力叠加,0.8372
心理健康困扰,竞争压力感知,0.6585
心理健康困扰,应试教育内化的竞争焦虑,0.5652
心理健康困扰,就业压力驱动的群体比较,0.6122
心理健康困扰,经济独立紧迫感,0.6739
心理健康困扰,同辈学业成就压力,0.5726
心理健康困扰,教育灌输的效率至上观念,0.5088
心理健康困扰,现实压力驱动的自我规训,0.5994
心理健康困扰,自我定位模糊,0.7969
心理健康困扰,就业导向的教育压力,0.5678
心理健康困扰,被动卷入竞争环境,0.5680
心理健康困扰,同伴成就引发的自我贬抑,0.6409
心理健康困扰,高学业成就期待,0.7214
心理健康困扰,未完成重要事务的自我责备,0.6526
心理健康困扰,观察他人努力引发的相对懈怠感,0.6233
心理健康困扰,竞争性评价体系压力,0.5332
心理健康困扰,争强好胜的个性倾向,0.7839
心理健康困扰,竞争劣势引发的焦虑投射,0.6718
心理健康困扰,过度关注外部评价,0.7372
心理健康困扰,学业进度压力,0.7605
心理健康困扰,同伴内卷氛围引发的归因偏差,0.5997
心理健康困扰,他人成就压力,0.5844
心理健康困扰,思维反刍倾向,0.7869
心理健康困扰,社会竞争环境强化,0.6892
心理健康困扰,内在价值冲突,0.7549
心理健康困扰,同辈竞争压力加剧,0.6326
心理健康困扰,同伴学习行为引发的焦虑,0.5500
心理健康困扰,成功焦虑驱动的自我监控,0.6764
心理健康困扰,生存压力加剧,0.6775
心理健康困扰,休闲活动的时间消耗感,0.6434
心理健康困扰,社会竞争氛围内化,0.5773
心理健康困扰,填鸭式教育经历,0.5671
心理健康困扰,社会比较压力,0.6948
心理健康困扰,效率至上价值观,0.5365
心理健康困扰,对落后于他人的担忧,0.6350
心理健康困扰,自我价值绑定于持续产出,0.5396
心理健康困扰,自我施加的完美主义倾向,0.7036
心理健康困扰,同辈竞争性参照,0.5543
心理健康困扰,自我提升的迫切需求,0.6357
心理健康困扰,同伴行为带来的隐性压力,0.6388
心理健康困扰,家庭成就期待压力,0.5663
心理健康困扰,成就导向驱动的自我要求,0.6078
心理健康困扰,内卷环境下的行为惯性,0.6243
心理健康困扰,工作压力引发的休息冲突,0.7372
心理健康困扰,学业成绩导向的教育氛围,0.7135
心理健康困扰,内卷环境与休息渴望的冲突,0.6830
心理健康困扰,群体性内卷压力,0.6563
心理健康困扰,担忧被他人超越,0.7506
心理健康困扰,卷躺两难困境,0.6384
心理健康困扰,能力与期望不匹配,0.7351
心理健康困扰,自我行为不一致引发的内疚,0.6926
心理健康困扰,未完成应尽责任引发的自我谴责,0.6699
心理健康困扰,他人成就引发的不利自我对照,0.6102
心理健康困扰,学业压力驱动的休息否定,0.7386
心理健康困扰,竞争环境下的休息污名化,0.6664
心理健康困扰,功利主义价值观对休息的贬低,0.5826
心理健康困扰,同辈行为参照引发的自我审视,0.5795
心理健康困扰,休息价值感缺失,0.7953
心理健康困扰,成绩导向的社会评价,0.6428
心理健康困扰,内外压力叠加,0.8399
心理健康困扰,早期高压教育灌输,0.6195
心理健康困扰,同辈竞争驱动的自我压榨,0.5234
心理健康困扰,对成绩与生活的焦虑,0.7057
心理健康困扰,社会竞争压力内化,0.6476
心理健康困扰,应试教育惯性,0.5458
心理健康困扰,恐惧被他人超越,0.6011
心理健康困扰,遵从努力型社会规范的压力,0.6150
心理健康困扰,目标模糊引发的自我苛责,0.6842
心理健康困扰,优绩主义文化压力,0.6569
心理健康困扰,传统家庭教育规训,0.7328
心理健康困扰,社会大众心理氛围,0.7293
心理健康困扰,同辈竞争焦虑,0.6550
心理健康困扰,社会功利文化压力,0.6679
心理健康困扰,自我价值绑定于生产力,0.5940
心理健康困扰,错失恐惧驱动,0.6786
心理健康困扰,学习效率低下引发的自我责备,0.6160
心理健康困扰,重要他人高期待压力,0.6907
心理健康困扰,亲密关系中的能力落差感,0.6330
心理健康困扰,教育环境内卷氛围,0.6659
心理健康困扰,未来方向不确定性,0.7728
心理健康困扰,环境竞争压力,0.7059
心理健康困扰,情绪调节困难,0.8080
心理健康困扰,社会对高效产出的推崇,0.5676
心理健康困扰,忙碌脱离不适感,0.7541
